Title,Oscar Status,Globes Status,Decade Released,Runtime (minutes),Box Office,Genre,Sub-Genre,Studio,Rotten Tomatoes (out of 100),IMDb (out of 100),Metacritic (out of 100),Director,Starring,Release Date,Budget,Domestic Gross,Worldwide Gross,Total Gross,Net Gross,remake,Cast Strength,Director Strength,Total Status,total score
The Post,1,1,2010-2019,116,174503458,Drama,"BioPic & True Story, Journalism","20th Century Studios, Amblin",88,720,83,Steven Spielberg,"Meryl Streep, Tom Hanks, Bob Odenkirk, Tracy Letts, Bruce Greenwood, Sarah Paulson, Bradley Whitford, Alison Brie",12/22/2017,500000000,819034580,1797694570,2616729150,2116729150,0,18,6,2,243
Nightmare Alley,1,0,2020-2029,139,,Thriller,Psychological Thriller,Searchlight Pictures,,,,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Richard Jenkins, Rooney Mara, Ron Perlman, David Strathairn",12/17/2021,600000000,113381070,375377730,488758800,-111241200,0,17,2,1,
Little Women,1,0,2010-2019,135,191540586,"Drama, Romance",Romantic Drama,Sony Pictures,95,790,91,Greta Gerwig,"Saoirse Ronan, Florence Pugh, Emma Watson, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts",12/25/2019,420000000,1080959550,2188383860,3269343410,2849343410,1,17,1,1,265
Amsterdam,0,0,2020-2029,134,24211191,"Mystery, Dramedy","Dark Comedy, Mystery & Suspense",20th Century Studios,,,,David O. Russell,"Christian Bale, Margot Robbie, John David Washington, Robert De Niro, Anya Taylor-Joy, Rami Malek, Chris Rock, Zoe Saldaña",10/6/2022,800000000,149479690,294008260,443487950,-356512050,0,17,3,0,
Joy,0,1,2010-2019,124,101134059,Drama,BioPic & True Story,Annapurna Pictures,60,660,56,David O. Russell,"Jennifer Lawrence, Bradley Cooper, Robert De Niro, Dascha Polanco, Edgar Ramírez, Elisabeth Röhm, Virginia Madsen, Isabella Rossellini",12/24/2015,600000000,564512320,1011340590,1575852910,975852910,0,16,3,1,182
The Monuments Men,0,0,2010-2019,118,154984035,Dramedy,Heist,Sony Pictures,30,610,52,George Clooney,"George Clooney, Matt Damon, Bill Murray, John Goodman, Cate Blanchett, Hugh Bonneville, Sam Hazeldine, Jean Dujardin",2/7/2014,700000000,780316200,1587027480,2367343680,1667343680,0,14,1,0,143
August: Osage County,0,0,2010-2019,121,74188937,Dramedy,Family Dynamics,Lantern Entertainment,66,720,58,John Wells,"Meryl Streep, Julia Roberts, Chris Cooper, Julianne Nicholson, Juliette Lewis, Ewan McGregor, Margo Martindale, Sam Shepard",12/25/2013,250000000,377388100,507388100,884776200,634776200,0,14,0,0,196
Righteous Kill,0,0,2000-2009,101,78460699,Mystery,Police & Detectives,Overture Films,18,600,36,Jon Avnet,"Robert De Niro, Carla Gugino, 50 Cent, Al Pacino, Donnie Wahlberg, Brian Dennehy, John Leguizamo, Trilby Glover",9/12/2008,600000000,400814100,784814100,1185628200,585628200,0,13,0,0,114
Something's Gotta Give,0,0,2000-2009,128,266728738,RomCom,,"Sony Pictures, Columbia Pictures, Warner Bros",72,670,66,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin",12/12/2003,800000000,1246852420,2666852420,3913704840,3113704840,0,12,0,0,205
Nine,0,1,2000-2009,112,53825515,"Musical, Romance","Romantic Drama, Dance & Music","Lantern Entertainment, Relativity Media",39,580,49,Rob Marshall,"Daniel Day-Lewis, Marion Cotillard, Penélope Cruz, Nicole Kidman, Judi Dench, Sophia Loren, Kate Hudson, Fergie",12/18/2009,800000000,196769650,569842190,766611840,-33388160,0,12,1,1,146
